"","sigma","mu1","mu2","delta","co.fracELT","co.fracERT","co.fracsym","co.meanELT","co.meanERT","co.meansym","co.numELT","co.numERT","co.numsym"
"110",0.8,0.1,0.1,1,0.0125238,0.0150703,0.0050027,26.4295823629244,28.8249897361935,18.6772467010623,431.4,535.9,265.5
"111",0.8,0.1,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"112",0.8,0.1,0.5,0.1,9.21e-05,9.34e-05,9.47e-05,92.1,82,82.1833333333333,1,1.3,1.3
"113",0.8,0.1,0.5,0.2,4.66e-05,4.61e-05,4.85e-05,41.3,40.7333333333333,43.25,1.2,1.3,1.3
"114",0.8,0.1,0.5,0.3,2.98e-05,3.04e-05,2.9e-05,29.8,26.4833333333333,29,1,1.3,1
"115",0.8,0.1,0.5,0.4,2.23e-05,2.25e-05,2.42e-05,22.3,19.2166666666667,24.2,1,1.3,1
"116",0.8,0.1,0.5,0.5,1.61e-05,1.79e-05,1.81e-05,16.1,16.2333333333333,18.1,1,1.2,1
"117",0.8,0.1,0.5,0.6,1.52e-05,1.54e-05,1.43e-05,13.775,15.4,13.55,1.3,1,1.1
"118",0.8,0.1,0.5,0.7,1.33e-05,1.12e-05,1.16e-05,12.5,10.7,11.6,1.1,1.1,1
"119",0.8,0.1,0.5,0.8,9.9e-06,9.3e-06,1.06e-05,9.9,8.65,10.6,1,1.1,1
"120",0.8,0.1,0.5,0.9,8.3e-06,1.08e-05,8.8e-06,8.3,10.8,7.8,1,1,1.2
"121",0.8,0.1,0.5,1,7.4e-06,8e-06,7.4e-06,7.4,7.65,6.9,1,1.1,1.1
"122",0.8,0.1,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"123",0.8,0.1,0.9,0.1,4.78e-05,4.81e-05,4.78e-05,47.8,48.1,47.8,1,1,1
"124",0.8,0.1,0.9,0.2,2.45e-05,2.5e-05,2.49e-05,23.2,25,24.9,1.1,1,1
"125",0.8,0.1,0.9,0.3,1.56e-05,1.69e-05,1.58e-05,15.6,16.9,15.8,1,1,1
"126",0.8,0.1,0.9,0.4,1.09e-05,1.19e-05,1.08e-05,10.9,11.25,10.8,1,1.1,1
"127",0.8,0.1,0.9,0.5,9.4e-06,9.2e-06,9.9e-06,9.4,9.2,9.9,1,1,1
"128",0.8,0.1,0.9,0.6,6.8e-06,8.1e-06,7.4e-06,6.8,8.1,7.4,1,1,1
"129",0.8,0.1,0.9,0.7,6.3e-06,6.2e-06,6.3e-06,6.3,6.2,6.3,1,1,1
"130",0.8,0.1,0.9,0.8,4.9e-06,6.2e-06,6e-06,4.9,6.2,6,1,1,1
"131",0.8,0.1,0.9,0.9,5.1e-06,4.7e-06,4.4e-06,5.1,4.7,4.4,1,1,1
"132",0.8,0.1,0.9,1,4.4e-06,4.8e-06,4.6e-06,4.4,4.8,4.6,1,1,1
"133",0.8,0.5,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"134",0.8,0.5,0.1,0.1,8.94e-05,9.18e-05,8.83e-05,80.25,91.8,84.05,1.2,1,1.1
"135",0.8,0.5,0.1,0.2,4.66e-05,4.48e-05,4.62e-05,44.7,39.15,43.75,1.1,1.2,1.1
"136",0.8,0.5,0.1,0.3,3.49e-05,3.07e-05,2.82e-05,34.9,28.5,26.5,1,1.1,1.1
"137",0.8,0.5,0.1,0.4,2.36e-05,2.17e-05,2.2e-05,19.9,21.7,22,1.3,1,1
"138",0.8,0.5,0.1,0.5,2.1e-05,1.74e-05,1.9e-05,18.8,16.3,18.15,1.2,1.1,1.1
"139",0.8,0.5,0.1,0.6,1.22e-05,1.45e-05,1.3e-05,10.4,13.7,13,1.2,1.1,1
"140",0.8,0.5,0.1,0.7,1.29e-05,1.19e-05,1.29e-05,11.35,9.15,12.4,1.2,1.4,1.1
"141",0.8,0.5,0.1,0.8,1.24e-05,1.02e-05,1.01e-05,9.86666666666667,8.75,9.65,1.4,1.2,1.1
"142",0.8,0.5,0.1,0.9,1.04e-05,8.2e-06,8.8e-06,9.2,8.2,8.15,1.2,1,1.1
"143",0.8,0.5,0.1,1,8.5e-06,8.6e-06,9.2e-06,8.5,7.55,9.2,1,1.2,1
"144",0.8,0.5,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"145",0.8,0.5,0.5,0.1,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"146",0.8,0.5,0.5,0.2,0.9994739,0.999602,0.9997141,27506.0050917987,42246.2950113512,29063.6033422632,39.1,26.9,40.2
"147",0.8,0.5,0.5,0.3,0.9915961,0.9916724,0.9923483,1859.76267933295,1887.10774728184,1266.80266338527,538,527.9,788.5
"148",0.8,0.5,0.5,0.4,0.9618976,0.9611968,0.9632419,448.591123682862,443.473723589885,305.215818216419,2148.8,2170.2,3159.9
"149",0.8,0.5,0.5,0.5,0.900499,0.9012576,0.8975303,186.05923217449,184.328935280913,121.617796938269,4842.7,4894,7383.5
"150",0.8,0.5,0.5,0.6,0.8024112,0.803345,0.8031293,102.206660938497,102.877360114242,68.1998480704734,7855.3,7810.4,11782.1
"151",0.8,0.5,0.5,0.7,0.6676168,0.6699067,0.6645683,65.2959061432704,66.0781982046741,43.9793794397296,10228.2,10140.1,15114.6
"152",0.8,0.5,0.5,0.8,0.4952303,0.5011624,0.4929084,46.2805575937359,46.2970461627868,31.0652141161462,10702.3,10826.9,15868.1
"153",0.8,0.5,0.5,0.9,0.2852119,0.2818374,0.2750868,35.0277621500201,35.5744644537559,23.6600952181363,8144.1,7924.6,11627.9
"154",0.8,0.5,0.5,1,0.0138494,0.0092242,0.0105863,28.2867431318069,29.5797215012822,19.6488421536776,491.1,325.7,528.6
"155",0.8,0.5,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"156",0.8,0.5,0.9,0.1,9.55e-05,8.86e-05,9.51e-05,91.5,79.45,95.1,1.1,1.2,1
"157",0.8,0.5,0.9,0.2,4.36e-05,4.85e-05,4.8e-05,39.85,45.8,38.7,1.2,1.1,1.4
"158",0.8,0.5,0.9,0.3,3.14e-05,2.74e-05,2.9e-05,27.65,23,27.55,1.3,1.3,1.1
"159",0.8,0.5,0.9,0.4,2.21e-05,2.35e-05,2.35e-05,22.1,23.5,21.15,1,1,1.2
"160",0.8,0.5,0.9,0.5,1.95e-05,1.85e-05,1.59e-05,17.45,18.5,15.9,1.2,1,1
"161",0.8,0.5,0.9,0.6,1.38e-05,1.4e-05,1.57e-05,13.8,12.0333333333333,15.7,1,1.3,1
"162",0.8,0.5,0.9,0.7,1.29e-05,1.16e-05,1.29e-05,12.2,11.6,11.5666666666667,1.1,1,1.2
"163",0.8,0.5,0.9,0.8,1e-05,1.24e-05,8.8e-06,9.35,11.05,8.8,1.1,1.2,1
"164",0.8,0.5,0.9,0.9,9.3e-06,1e-05,1.12e-05,8.65,8.65,10.5333333333333,1.1,1.2,1.2
"165",0.8,0.5,0.9,1,8e-06,8.7e-06,8.2e-06,8,7.48333333333333,7.8,1,1.3,1.1
"166",0.8,0.9,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"167",0.8,0.9,0.1,0.1,4.81e-05,4.97e-05,4.81e-05,43.05,49.7,48.1,1.2,1,1
"168",0.8,0.9,0.1,0.2,2.56e-05,2.36e-05,2.43e-05,24.15,23.6,24.3,1.1,1,1
"169",0.8,0.9,0.1,0.3,1.66e-05,1.54e-05,1.69e-05,16.6,15.4,16.9,1,1,1
"170",0.8,0.9,0.1,0.4,1.16e-05,1.18e-05,1.11e-05,11.6,11.15,11.1,1,1.1,1
"171",0.8,0.9,0.1,0.5,8.9e-06,9.4e-06,9.1e-06,8.9,9.4,8.7,1,1,1.1
"172",0.8,0.9,0.1,0.6,7.2e-06,8.2e-06,7.6e-06,7.2,7.65,7.6,1,1.1,1
"173",0.8,0.9,0.1,0.7,6.9e-06,7.3e-06,6.6e-06,6.9,7.3,6.6,1,1,1
"174",0.8,0.9,0.1,0.8,6.1e-06,5.4e-06,6e-06,5.7,5.4,6,1.1,1,1
"175",0.8,0.9,0.1,0.9,5e-06,4.3e-06,4.5e-06,5,4.3,4.5,1,1,1
"176",0.8,0.9,0.1,1,5.3e-06,3.9e-06,4.4e-06,5.05,3.9,4.4,1.1,1,1
"177",0.8,0.9,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"178",0.8,0.9,0.5,0.1,9.02e-05,9.19e-05,9.29e-05,80.95,86.95,92.9,1.2,1.1,1
"179",0.8,0.9,0.5,0.2,4.78e-05,4.67e-05,4.48e-05,42.7,43.5666666666667,41,1.2,1.2,1.2
"180",0.8,0.9,0.5,0.3,2.89e-05,2.91e-05,2.85e-05,24.7666666666667,27.4,27.2,1.4,1.1,1.1
"181",0.8,0.9,0.5,0.4,2.11e-05,2.15e-05,2.21e-05,21.1,18.7666666666667,20.8,1,1.3,1.1
"182",0.8,0.9,0.5,0.5,1.66e-05,2.22e-05,1.81e-05,13.8,20.15,15.05,1.4,1.2,1.3
"183",0.8,0.9,0.5,0.6,1.63e-05,1.32e-05,1.53e-05,15.75,13.2,13.35,1.1,1,1.2
"184",0.8,0.9,0.5,0.7,1.26e-05,1.32e-05,1.16e-05,12.6,13.2,10.9,1,1,1.1
"185",0.8,0.9,0.5,0.8,1.05e-05,1.21e-05,1.11e-05,9.25,11.1666666666667,10.55,1.2,1.2,1.1
"186",0.8,0.9,0.5,0.9,8.8e-06,1.04e-05,9.6e-06,8,10.4,9.6,1.2,1,1
"187",0.8,0.9,0.5,1,7.8e-06,8.7e-06,9.6e-06,6.95,8.7,8.85,1.2,1,1.2
"188",0.8,0.9,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"189",0.8,0.9,0.9,0.1,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"190",0.8,0.9,0.9,0.2,0.9995772,0.999551,0.9996037,43331.4517842602,35820.7261101367,21266.2252715619,27.3,33.1,50.6
"191",0.8,0.9,0.9,0.3,0.991599,0.9916346,0.9918199,1819.60452198017,1874.40821981794,1283.82329590324,547.1,530.7,776
"192",0.8,0.9,0.9,0.4,0.9613357,0.9625266,0.9622741,446.742689686252,465.75306887689,300.99751497669,2155.4,2069.1,3201.5
"193",0.8,0.9,0.9,0.5,0.8985982,0.9015299,0.9019489,186.257166962148,187.889862987022,126.332795722438,4828.9,4802.8,7145.4
"194",0.8,0.9,0.9,0.6,0.80086,0.8023203,0.7976628,101.941734793807,102.671323357672,67.7154234319382,7858,7818.1,11784.4
"195",0.8,0.9,0.9,0.7,0.6682933,0.6716023,0.6647174,65.799184570473,66.1009159812346,43.7413152744892,10158.6,10161.3,15198.8
"196",0.8,0.9,0.9,0.8,0.4951027,0.4982263,0.4943755,46.1366778376832,46.7386508499288,31.2134664094931,10732.9,10661.1,15840.4
"197",0.8,0.9,0.9,0.9,0.2778944,0.2829022,0.2704479,34.9297585124826,35.0905941011517,23.4742599134462,7955.2,8060.7,11518.6
"198",0.8,0.9,0.9,1,0.0108716,0.0103026,0.0107418,26.7091379758432,29.6456888760321,19.7597644370607,396.6,357,548.3
"199",1.6,0.1,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"200",1.6,0.1,0.1,0.1,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"201",1.6,0.1,0.1,0.2,0.9994352,0.9995002,0.9995751,15947.6730637086,17254.4469923923,11798.8990506054,65.6,61.2,88.4
"202",1.6,0.1,0.1,0.3,0.9908682,0.9909654,0.9912633,1015.86365961809,1030.43014101701,639.748076579884,977.4,964.5,1550.1
"203",1.6,0.1,0.1,0.4,0.9602904,0.9604384,0.9620491,250.113526232358,249.528034668736,160.357199006166,3843,3849.8,6000.4
"204",1.6,0.1,0.1,0.5,0.8996812,0.9000654,0.8990514,104.271503049969,104.843898946975,65.3789262864456,8629.6,8587.6,13755.9
"205",1.6,0.1,0.1,0.6,0.8069979,0.8069145,0.8043107,56.0037331775066,56.2461437913768,35.9022249300296,14412.4,14346.6,22405.5
"206",1.6,0.1,0.1,0.7,0.6803015,0.680053,0.6759549,35.5205679964496,35.5696601358543,22.9115671427139,19153.1,19122.2,29505.6
"207",1.6,0.1,0.1,0.8,0.5184453,0.5187316,0.5028451,24.6146546970401,24.7307078580033,15.9490231404663,21063,20975.8,31530
"208",1.6,0.1,0.1,0.9,0.3113788,0.309359,0.2881162,18.0594692324367,17.9913304042554,12.0015881354284,17240.8,17196.2,24008.2
"209",1.6,0.1,0.1,1,0.0029772,0.0079345,0.0063153,13.5195178672815,13.8757473465907,9.13422709335958,221.9,562.9,670.8
"210",1.6,0.1,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"211",1.6,0.1,0.5,0.1,0.0001789,0.0001296,0.000144,171.35,84.4357142857143,62.495,1.1,2,3.1
"212",1.6,0.1,0.5,0.2,7.22e-05,7.52e-05,8.06e-05,42.775,33.225,55.9071428571429,2.2,2.7,2
"213",1.6,0.1,0.5,0.3,3.87e-05,5e-05,3.5e-05,19.45,27.2194444444444,28.85,2.4,2.8,1.4
"214",1.6,0.1,0.5,0.4,2.55e-05,3.14e-05,3.07e-05,18.4166666666667,21.2,20.875,1.6,1.7,1.8
"215",1.6,0.1,0.5,0.5,2.39e-05,2.3e-05,2.81e-05,14.9361111111111,15.0333333333333,14.2666666666667,2.3,1.8,2.5
"216",1.6,0.1,0.5,0.6,1.59e-05,1.81e-05,1.84e-05,14.5,18.1,11.7533333333333,1.2,1,2
"217",1.6,0.1,0.5,0.7,1.62e-05,1.65e-05,2.3e-05,13.3333333333333,8.95,13.4583333333333,1.5,2.1,2.2
"218",1.6,0.1,0.5,0.8,1.14e-05,1.37e-05,1.35e-05,10.45,10.85,9.6,1.2,1.4,1.4
"219",1.6,0.1,0.5,0.9,8.9e-06,1.26e-05,1.3e-05,8.5,12.6,11.4666666666667,1.1,1,1.2
"220",1.6,0.1,0.5,1,9.6e-06,1.21e-05,5.7e-06,5.96666666666667,8.51,5.35,1.7,1.6,1.1
"221",1.6,0.1,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"222",1.6,0.1,0.9,0.1,5.95e-05,5.72e-05,5.83e-05,59.5,57.2,54.85,1,1,1.1
"223",1.6,0.1,0.9,0.2,2.7e-05,2.64e-05,2.74e-05,24.25,24.45,22.85,1.2,1.1,1.3
"224",1.6,0.1,0.9,0.3,1.85e-05,1.68e-05,1.74e-05,18.5,14.8,16.4,1,1.2,1.1
"225",1.6,0.1,0.9,0.4,1.25e-05,1.35e-05,1.54e-05,11.85,12.75,15.4,1.1,1.1,1
"226",1.6,0.1,0.9,0.5,1.09e-05,1.06e-05,1.09e-05,9.5,10.6,10,1.2,1,1.2
"227",1.6,0.1,0.9,0.6,1.13e-05,8.4e-06,8.5e-06,8.8,7.11666666666667,7.8,1.3,1.3,1.1
"228",1.6,0.1,0.9,0.7,7.8e-06,6.8e-06,6.1e-06,6.55,6.2,6.1,1.3,1.2,1
"229",1.6,0.1,0.9,0.8,5.9e-06,6.9e-06,5.8e-06,5.36666666666667,5.25,5.55,1.2,1.4,1.1
"230",1.6,0.1,0.9,0.9,4.9e-06,4.7e-06,5.9e-06,3.9,4.7,5.9,1.3,1,1
"231",1.6,0.1,0.9,1,4.5e-06,4.4e-06,3.5e-06,4.3,4.4,3.5,1.1,1,1
"232",1.6,0.5,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"233",1.6,0.5,0.1,0.1,0.0001891,0.0001381,0.0001238,76.2790476190476,83.8833333333333,61.0666666666667,4.1,2.4,2.6
"234",1.6,0.5,0.1,0.2,6.63e-05,6.3e-05,6.63e-05,43.5216666666667,42.875,49.2833333333333,2,1.7,1.6
"235",1.6,0.5,0.1,0.3,5.3e-05,4.75e-05,3.44e-05,28.2666666666667,23.65,23.9166666666667,2.5,3,1.7
"236",1.6,0.5,0.1,0.4,2.76e-05,2.98e-05,3.13e-05,20.0833333333333,14.62,19.1083333333333,1.7,2.1,2.2
"237",1.6,0.5,0.1,0.5,2.72e-05,2.87e-05,2.69e-05,22.2666666666667,12.7083333333333,16.25,1.4,2.5,2
"238",1.6,0.5,0.1,0.6,1.7e-05,1.53e-05,2.12e-05,14.55,12.9,13.9333333333333,1.3,1.3,1.8
"239",1.6,0.5,0.1,0.7,1.43e-05,1.52e-05,1.37e-05,10.65,11.89,9.7,1.4,1.6,1.6
"240",1.6,0.5,0.1,0.8,1.34e-05,1.29e-05,1.49e-05,11.15,11.2666666666667,11.65,1.3,1.3,1.5
"241",1.6,0.5,0.1,0.9,1.13e-05,1.15e-05,1.09e-05,10.6,8.56666666666667,7.9,1.1,1.2,1.6
"242",1.6,0.5,0.1,1,9.1e-06,1.09e-05,7.2e-06,7.26666666666667,8.625,6.4,1.3,1.5,1.2
"243",1.6,0.5,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"244",1.6,0.5,0.5,0.1,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"245",1.6,0.5,0.5,0.2,0.9993872,0.9994743,0.9995394,15100.3187527939,16581.6145927894,11302.3780844915,67.6,60.8,91.5
"246",1.6,0.5,0.5,0.3,0.9910267,0.9906521,0.9916777,1015.19767180508,996.875474835217,661.545223792262,978.3,995,1500
"247",1.6,0.5,0.5,0.4,0.9610584,0.9605745,0.9612772,251.715900800797,246.800664756221,157.828978010958,3820.2,3894.4,6092.3
"248",1.6,0.5,0.5,0.5,0.8991707,0.8995588,0.9001044,103.056318802979,103.57413498014,65.4061205259531,8727.8,8688.4,13763.3
"249",1.6,0.5,0.5,0.6,0.8074678,0.8062725,0.8038231,56.3636583521565,56.4311216795419,35.6552825169413,14328.6,14290.4,22545.2
"250",1.6,0.5,0.5,0.7,0.6832872,0.6778759,0.6705456,35.6135009690733,35.3046046624909,22.6085114840419,19187.6,19202.3,29659.4
"251",1.6,0.5,0.5,0.8,0.5232405,0.5192498,0.5044052,24.5699849631215,24.4004534966462,15.9569151470653,21296.7,21281.6,31611.3
"252",1.6,0.5,0.5,0.9,0.3085313,0.3083861,0.2824784,18.0239337069002,18.1213194886087,11.9310950458232,17117.1,17017.9,23678.8
"253",1.6,0.5,0.5,1,0.006554,0.0045179,0.0066486,13.7491243641904,14.2091496268458,9.21383144061245,480.1,321.7,727.1
"254",1.6,0.5,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"255",1.6,0.5,0.9,0.1,0.0001491,0.0001447,0.0001294,72.3773809523809,72.325,63.7566666666667,3,3,2.6
"256",1.6,0.5,0.9,0.2,7.26e-05,7.42e-05,6.72e-05,51.0666666666667,46.2357142857143,42.235,1.6,2.4,2.3
"257",1.6,0.5,0.9,0.3,3.41e-05,3.5e-05,5.09e-05,22.8833333333333,20.0916666666667,29.1366666666667,1.9,2,3.2
"258",1.6,0.5,0.9,0.4,2.32e-05,2.45e-05,3.15e-05,18.4666666666667,15.2,19.3416666666667,1.4,1.7,2
"259",1.6,0.5,0.9,0.5,2.64e-05,2.53e-05,2.43e-05,15.5440476190476,17.04,20.26,2.2,1.9,1.5
"260",1.6,0.5,0.9,0.6,1.95e-05,1.83e-05,1.83e-05,14.55,15.8,12.9833333333333,1.6,1.2,1.6
"261",1.6,0.5,0.9,0.7,1.35e-05,2.03e-05,1.64e-05,11.6833333333333,16.1666666666667,13,1.3,1.3,1.4
"262",1.6,0.5,0.9,0.8,1.21e-05,1.07e-05,1.41e-05,10.5,10.7,12.85,1.2,1,1.1
"263",1.6,0.5,0.9,0.9,8.9e-06,1.08e-05,8.8e-06,7.83333333333333,8.6,6.8,1.2,1.3,1.3
"264",1.6,0.5,0.9,1,7.3e-06,1.13e-05,7.8e-06,5.25,9.1,5.65,1.4,1.3,1.4
"265",1.6,0.9,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"266",1.6,0.9,0.1,0.1,5.85e-05,5.83e-05,5.44e-05,43.5166666666667,46.0833333333333,43.5,1.6,1.4,1.4
"267",1.6,0.9,0.1,0.2,2.72e-05,2.66e-05,3e-05,24.05,23.7,25.85,1.2,1.2,1.3
"268",1.6,0.9,0.1,0.3,1.86e-05,1.92e-05,1.85e-05,18.6,18.45,18.5,1,1.1,1
"269",1.6,0.9,0.1,0.4,1.59e-05,1.32e-05,1.21e-05,13.6,11.8,10.9,1.2,1.2,1.2
"270",1.6,0.9,0.1,0.5,1.07e-05,1.01e-05,8.7e-06,10.15,9.7,8.05,1.1,1.1,1.2
"271",1.6,0.9,0.1,0.6,9.2e-06,9.4e-06,9.3e-06,8.65,9,8.85,1.1,1.1,1.1
"272",1.6,0.9,0.1,0.7,7.3e-06,6e-06,6.2e-06,7.3,5.05,5.9,1,1.2,1.1
"273",1.6,0.9,0.1,0.8,5.7e-06,7.3e-06,5.6e-06,5.7,6.45,5.2,1,1.2,1.1
"274",1.6,0.9,0.1,0.9,4.6e-06,5.1e-06,5.8e-06,4.35,5.1,5.45,1.1,1,1.1
"275",1.6,0.9,0.1,1,4.7e-06,5.3e-06,4.6e-06,4.45,4.95,4.6,1.1,1.1,1
"276",1.6,0.9,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"277",1.6,0.9,0.5,0.1,0.0001624,0.0001995,0.0001352,73.5316666666667,64.5638095238095,108.99,3,4.2,1.8
"278",1.6,0.9,0.5,0.2,6.48e-05,7.22e-05,7.74e-05,53.85,38.51,41.0476190476191,1.3,2.3,2.9
"279",1.6,0.9,0.5,0.3,4.07e-05,3.13e-05,4.12e-05,34.5,25.3333333333333,26.025,1.3,1.4,1.9
"280",1.6,0.9,0.5,0.4,2.86e-05,3.04e-05,4.41e-05,15.5,23.17,31.2566666666667,2,1.6,2
"281",1.6,0.9,0.5,0.5,2.85e-05,2.16e-05,2.47e-05,19.1166666666667,13.5,16.8633333333333,2,1.9,1.9
"282",1.6,0.9,0.5,0.6,1.71e-05,1.99e-05,2.31e-05,13.95,12.3,12.425,1.5,2.1,2
"283",1.6,0.9,0.5,0.7,1.27e-05,1.65e-05,1.65e-05,9.95,11.825,13.6666666666667,1.2,1.6,1.5
"284",1.6,0.9,0.5,0.8,1.28e-05,1.08e-05,1.67e-05,7.50833333333333,9.43333333333333,9.75,1.6,1.3,1.9
"285",1.6,0.9,0.5,0.9,8.9e-06,9.7e-06,1.17e-05,8.9,7.36666666666667,7.51666666666667,1,1.5,1.9
"286",1.6,0.9,0.5,1,8.7e-06,8.8e-06,1.07e-05,8.7,6.1,8.11666666666667,1,1.4,1.5
"287",1.6,0.9,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"288",1.6,0.9,0.9,0.1,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"289",1.6,0.9,0.9,0.2,0.9995124,0.9995002,0.9996215,17364.6441722872,19349.6459217873,12120.9395592486,59,55.7,84.2
"290",1.6,0.9,0.9,0.3,0.991225,0.9911312,0.9916982,1051.16718153514,1034.76291908989,661.914111962602,944.2,960.8,1504.6
"291",1.6,0.9,0.9,0.4,0.9616432,0.9611611,0.9612167,255.163552016307,250.6493210433,157.362374016612,3771,3836.4,6110.2
"292",1.6,0.9,0.9,0.5,0.899953,0.900541,0.8996675,104.962822902025,104.300206237318,65.6480293716836,8574.3,8635.5,13707
"293",1.6,0.9,0.9,0.6,0.8075914,0.8061724,0.8031222,56.4785356841157,56.2507096471304,35.635854610995,14299.9,14332.5,22538.3
"294",1.6,0.9,0.9,0.7,0.6799203,0.6802382,0.6715238,35.5324496481283,35.4464024301401,22.7187321572614,19136.3,19191.6,29560
"295",1.6,0.9,0.9,0.8,0.5188731,0.5184837,0.5045524,24.3730326333034,24.4084356911334,15.9923511479968,21289.6,21242.8,31553.7
"296",1.6,0.9,0.9,0.9,0.3095811,0.3084552,0.2866127,18.0554836906605,18.0185391523445,12.0087222265983,17145.9,17119.2,23866.2
"297",1.6,0.9,0.9,1,0.0065026,0.0070598,0.0054938,13.8796881719005,13.5892590255057,9.29216354969847,465.6,511.1,581.1
"298",3.2,0.1,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"299",3.2,0.1,0.1,0.1,1.0000004,0.9999992,1.000001,950000.65,833333.416666667,1000001,1.1,1.4,1
"300",3.2,0.1,0.1,0.2,0.9993216,0.9993349,0.9993892,8910.88238151877,8903.0702616755,5584.15853672184,113,114.1,180.4
"301",3.2,0.1,0.1,0.3,0.9900844,0.9901011,0.9906276,641.632529833431,636.026153523766,379.71680678508,1543.9,1558.3,2610.7
"302",3.2,0.1,0.1,0.4,0.9591212,0.9592187,0.9599317,159.931290961735,159.614920158462,92.9827291181713,5998.8,6010.3,10325.7
"303",3.2,0.1,0.1,0.5,0.9004277,0.9004078,0.8998296,66.4790861124126,66.8715903828468,38.6422230047982,13545.7,13466.4,23287.1
"304",3.2,0.1,0.1,0.6,0.8119631,0.8119489,0.8098099,35.3414580140684,35.3798222248966,20.6821482087218,22976.3,22950.2,39156
"305",3.2,0.1,0.1,0.7,0.6959804,0.6966628,0.6856558,21.5428217285925,21.5510311845605,12.8183825703993,32308.9,32327.6,53491.5
"306",3.2,0.1,0.1,0.8,0.5502934,0.5509829,0.5324682,14.26228891266,14.2627637323927,8.74453114132441,38583.6,38631.7,60892.2
"307",3.2,0.1,0.1,0.9,0.3615618,0.3615013,0.326226,9.91344151151702,9.8898535769801,6.25228626373564,36471.8,36552.8,52178.6
"308",3.2,0.1,0.1,1,0.0029055,0.0012023,0.0016295,6.85798640722065,7.12480170251451,4.56899898247816,414.1,171.2,353
"309",3.2,0.1,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"310",3.2,0.1,0.5,0.1,0.9603976,0.9603603,0.9973068,277.355136075733,277.979559833898,2198.95851371553,3465.6,3457.1,456.4
"311",3.2,0.1,0.5,0.2,0.8097175,0.8099229,0.9454241,55.9820361089739,55.870124949359,116.60055681552,14467.2,14497.7,8110.6
"312",3.2,0.1,0.5,0.3,0.6266002,0.6270771,0.8292063,27.8277162655261,27.8712879683669,39.1734273163697,22519,22500.2,21169
"313",3.2,0.1,0.5,0.4,0.4307117,0.430169,0.6660123,18.0503703238871,18.0997041746062,20.8238952300514,23862.2,23767.1,31984.7
"314",3.2,0.1,0.5,0.5,0.2113129,0.2149545,0.4623958,13.1116508776197,13.1271879621178,13.3970673014403,16116.1,16375.3,34515.8
"315",3.2,0.1,0.5,0.6,0.0005037,0.0004803,0.2072468,12.9975764172603,9.07800181840809,9.55913764848109,44.1,47.7,21683.5
"316",3.2,0.1,0.5,0.7,5.66e-05,4.37e-05,0.0001534,8.90810606060606,12.6941666666667,9.65475570688045,6.4,3.9,19.6
"317",3.2,0.1,0.5,0.8,3.05e-05,1.86e-05,1.98e-05,11.6124242424242,7.9,6.38484848484848,3.1,2.6,3.4
"318",3.2,0.1,0.5,0.9,2.02e-05,1.51e-05,1.84e-05,6.63214285714286,9.32,6.33988095238095,3.3,1.9,3.4
"319",3.2,0.1,0.5,1,1.34e-05,1.44e-05,1.25e-05,7.025,6.725,6.68,2.1,2,2.2
"320",3.2,0.1,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"321",3.2,0.1,0.9,0.1,0.4342073,0.4371314,0.5712192,25.241208611933,25.1961038011771,31.4244160825006,17203.2,17349.8,18180.4
"322",3.2,0.1,0.9,0.2,0.1183054,0.1181233,0.1848655,13.3079898478506,13.2678184189722,13.8981569833662,8890.3,8901.5,13301.7
"323",3.2,0.1,0.9,0.3,0.0001031,9.13e-05,0.0001336,11.7502314814815,18.7971153846154,14.6668518518519,9.3,6.8,10.1
