"","sigma","mu1","mu2","delta","co.fracELT","co.fracERT","co.fracsym","co.meanELT","co.meanERT","co.meansym","co.numELT","co.numERT","co.numsym"
"446",6.4,0.5,0.5,0.5,0.9004555,0.9004032,0.9002915,50.2606555480289,50.0511154056848,26.7946748327458,17916.6,17990.5,33600.8
"447",6.4,0.5,0.5,0.6,0.8170253,0.8171043,0.8143704,26.1810526236581,26.1941795276386,14.0648928010887,31207,31194.7,57902.2
"448",6.4,0.5,0.5,0.7,0.7079271,0.7078099,0.7026908,15.4047716083102,15.4577718667233,8.44002195191465,45955.7,45790.2,83257.3
"449",6.4,0.5,0.5,0.8,0.5677758,0.5688323,0.5597031,9.3962640518252,9.4007995311074,5.38648903810437,60426.3,60509.1,103909.4
"450",6.4,0.5,0.5,0.9,0.4066854,0.4053751,0.3827545,6.28084208001249,6.2802185457526,3.64494332447218,64750.2,64548.1,105010
"451",6.4,0.5,0.5,1,0.0004697,0.0004743,0.000398,3.7680140680156,4.06397199820969,2.5944913831032,126.2,119,163.7
"452",6.4,0.5,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"453",6.4,0.5,0.9,0.1,0.9989221,0.9989198,0.9999937,5672.27564535731,5599.91953324146,340236.766190476,177.6,179,3.7
"454",6.4,0.5,0.9,0.2,0.975074,0.9746242,0.9971168,245.512455219622,245.044532785396,1074.90949283667,3972.2,3979.4,929.5
"455",6.4,0.5,0.9,0.3,0.9204724,0.9190968,0.9787274,76.4482467047962,75.4996513978785,148.224373403183,12041.2,12174.1,6604.1
"456",6.4,0.5,0.9,0.4,0.8446304,0.8460946,0.9347959,38.2609372310516,38.6633538162223,47.8907270688381,22076.3,21884.6,19521.5
"457",6.4,0.5,0.9,0.5,0.7571227,0.7568473,0.8645774,23.449412498145,23.4880906002033,22.4665931009276,32289.3,32223.7,38483.9
"458",6.4,0.5,0.9,0.6,0.6539815,0.6545899,0.7657512,15.5226408244329,15.5227965837896,12.6342888655782,42131.5,42169.7,60609.5
"459",6.4,0.5,0.9,0.7,0.5329002,0.5340665,0.6406419,10.5933843793671,10.6128781785128,7.85535433471598,50305.5,50322.8,81555.1
"460",6.4,0.5,0.9,0.8,0.3868657,0.3865474,0.4804416,7.26615680412468,7.25373832619551,5.15209451943122,53241.7,53290,93251.8
"461",6.4,0.5,0.9,0.9,0.190941,0.191202,0.2618387,5.01782583460912,5.01486620913169,3.53151243047252,38052.4,38127,74144
"462",6.4,0.5,0.9,1,1.42e-05,1.56e-05,1.75e-05,3.82982456140351,4.93630952380952,2.56911764705882,4,3.9,7.2
"463",6.4,0.9,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"464",6.4,0.9,0.1,0.1,0.9731085,0.9740006,0.9997102,275.095525481085,280.42390362913,13318.7202539954,3539,3473.9,78.1
"465",6.4,0.9,0.1,0.2,0.863612,0.8644275,0.9850126,51.2837778698045,51.4166235718302,254.399956179329,16841.5,16812.8,3873.7
"466",6.4,0.9,0.1,0.3,0.7371263,0.7373964,0.9360383,25.0152809632903,25.0098856108844,61.0743522359891,29467.7,29484.8,15329.7
"467",6.4,0.9,0.1,0.4,0.6082396,0.6090737,0.856949,16.0302006327868,15.9977060158739,27.2198629716191,37944.1,38073.2,31483.7
"468",6.4,0.9,0.1,0.5,0.4773754,0.4776857,0.7503208,11.5665830525128,11.5447026831356,15.3056273802637,41272,41376.9,49023.4
"469",6.4,0.9,0.1,0.6,0.3394882,0.3374076,0.6193653,8.8143282225967,8.77958752321377,9.76516859673898,38516,38430.8,63426.4
"470",6.4,0.9,0.1,0.7,0.1784787,0.1784009,0.4565597,6.819360257727,6.81577349404284,6.59922218993319,26173.2,26176.6,69185.2
"471",6.4,0.9,0.1,0.8,0.0007352,0.0003871,0.2412764,5.15883780000227,5.28828149513592,4.58443906179563,142.1,76.6,52629.8
"472",6.4,0.9,0.1,0.9,3.07e-05,1.65e-05,7.64e-05,3.72666666666667,4.15642857142857,3.77926181338499,8.3,3.6,22.3
"473",6.4,0.9,0.1,1,1.21e-05,8.3e-06,5.3e-06,3.16071428571429,2.6,2.53333333333333,3.6,3.1,2.1
"474",6.4,0.9,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"475",6.4,0.9,0.5,0.1,0.9989237,0.9989988,0.9999918,5457.40641186411,6133.85297459712,328331.731666667,185,163.6,4.1
"476",6.4,0.9,0.5,0.2,0.9750442,0.9752425,0.997185,244.540268837025,246.93794868073,1091.16236363661,3989,3950.4,915
"477",6.4,0.9,0.5,0.3,0.919856,0.9195413,0.9787409,76.1140361511124,76.0726076249206,146.954632772638,12086.2,12089.4,6662.5
"478",6.4,0.9,0.5,0.4,0.8442067,0.8455551,0.934886,38.2302166165931,38.5099883156041,47.8878691530493,22082.6,21957.8,19523.4
